Mireille, 	Western Pacific, 	Typhoon, 	1991
Morakot, 	Western Pacific, 	Typhoon, 	2009
Mujigae, 	Western Pacific, 	Typhoon, 	2015
Melor, 	Western Pacific, 	Typhoon, 	2015
Nabi, 	Western Pacific, 	Typhoon, 	2005
Ophelia, 	Western Pacific, 	Typhoon, 	1960
Omar, 	Western Pacific, 	Typhoon, 	1992
Parma, 	Western Pacific, 	Typhoon, 	2009
Pongsona, 	Western Pacific, 	Typhoon, 	2002
Rananim, 	Western Pacific, 	Typhoon, 	2004
Roy, 	Western Pacific, 	Typhoon, 	1988
Rusa, 	Western Pacific, 	Typhoon, 	2002
Rammasun, 	Western Pacific, 	Typhoon, 	2014
Saomai, 	Western Pacific, 	Typhoon, 	2006
Sudal, 	Western Pacific, 	Typhoon, 	2004
Sonamu, 	Western Pacific, 	Typhoon, 	2013
Soudelor, 	Western Pacific, 	Typhoon, 	2015
Thelma, 	Western Pacific, 	Typhoon, 	1991
Tingting, 	Western Pacific, 	Typhoon, 	2004
Utor, 	Western Pacific, 	Typhoon, 	2013
Vamei, 	Western Pacific, 	Typhoon, 	2001
Vicente, 	Western Pacific, 	Typhoon, 	2012
Washi, 	Western Pacific, 	Typhoon, 	2011
Xangsane, 	Western Pacific, 	Typhoon, 	2006
Yanyan, 	Western Pacific, 	Typhoon, 	2004
